"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-01","0.00"," 2328","0.00",,"37","29","   10","  350","4.9","6.0","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-02","15.21"," 2327","0.00",,"33","17","  320","  320","28.0","38.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-03","14.32"," 0714","0.00",,"21","15","  310","  300","28.0","38.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-04","10.29"," 0608","0.00",,"30","20","  310","  310","21.0","28.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-05","6.93"," 2130","0.00",,"28","15","  320","  330","17.0","23.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-06","8.50"," 1804","0.00",,"32","19","  310","  310","21.0","28.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-07","5.37"," 1219","0.00",,"39","22","  340","  320","19.9","25.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-08","4.70"," 2359","0.01",,"31","20","  330","  330","21.0","25.9","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-09","11.41"," 0102","0.00",,"27","14","  310","  310","23.0","29.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-10","5.82"," 1515","0.00",,"28","5","  330","  350","18.1","23.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-11","2.24"," 1422","0.00",,"34","4","  330","  330","14.1","16.1","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-12","8.05"," 1547","0.00",,"35","19","  330","  320","23.0","32.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-13","4.47"," 0956","0.00",,"30","12","  320","  350","18.1","23.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-14","2.24"," 1518","0.00",,"40","22","  170","  190","12.1","15.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-15","3.80"," 1549","0.00",,"49","20","  320","  340","15.0","21.9","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-01-16","2.68"," 1433","0.00",,"46","25","  300","  310","13.0","16.1","    1",,,
